timestamp,desired_velocity_x,desired_velocity_z,stop_distance_x,stop_distance_z,stop_time
43.0,0.00,0.00,0.00000,0.00000,0.00000000
43.0,0.00,0.00,0.00000,0.00000,0.00000000
44.0,0.00,0.00,0.00000,0.00000,0.00000000
45.0,0.00,0.00,0.00000,0.00000,0.00000000
46.0,0.00,0.00,0.00000,0.00000,0.00000000
47.0,0.00,0.00,0.00000,0.00000,0.00000000
48.0,0.80,0.00,0.34567,0.00000,0.00000691
49.0,0.80,0.00,0.34567,0.00000,0.00000691
50.0,0.80,0.00,0.34567,0.00000,0.00000691
51.0,0.80,0.00,0.34567,0.00000,0.00000691
52.0,0.80,0.00,0.34567,0.00000,0.00000691
53.0,0.80,0.00,0.34567,0.00000,0.00000691
54.0,0.80,0.00,0.34567,0.00000,0.00000691
55.0,0.90,0.00,0.43659,0.00000,0.00000715
56.0,0.90,0.00,0.43659,0.00000,0.00000715
57.0,0.90,0.00,0.43659,0.00000,0.00000715
58.0,0.90,0.00,0.43659,0.00000,0.00000715
59.0,0.90,0.00,0.43659,0.00000,0.00000715
60.0,0.90,0.00,0.43659,0.00000,0.00000715
61.0,0.00,1.80,0.00001,0.31130,0.00000715
62.0,0.00,1.80,0.00001,0.31130,0.00000715
63.0,0.00,1.80,0.00001,0.31130,0.00000715
64.0,0.00,1.80,0.00001,0.31130,0.00000715
65.0,0.00,1.80,0.00001,0.31130,0.00000715
66.0,0.00,1.80,0.00001,0.31130,0.00000715
67.0,0.00,1.80,0.00001,0.31130,0.00000715
68.0,0.00,1.90,0.00009,0.08904,0.00003195
69.0,0.00,1.90,0.00009,0.08904,0.00003195
70.0,0.00,1.90,0.00009,0.08904,0.00003195
